clientId,country,product_id
77271,MG,20069
57832,RJ,25574
67828,RJ,2617
67828,RJ,2617
69324,SC,23272
1327,SP,22138
68724,RJ,5645
59682,SP,18754
1237,SP,18360
46478,RJ,6764
55247,SP,16144
92937,SP,8634
74818,MG,8996
36474,MS,16191
39740,SP,16877
78580,TO,22571
75056,SP,11360
84419,RJ,6226
24133,SP,1470
30569,RO,14012
30569,RO,14012
30569,RO,14012
30569,RO,14012
15583,SP,1905
14062,PR,20953
73801,CE,31779
39150,RJ,19808
58498,SP,25978
48510,MG,10487
48510,MG,10487
15386,SP,4230
89314,MG,31698
46729,DF,4742
82906,SP,17628
47682,SP,8073
92174,RJ,15287
63753,SP,19836
84617,PR,26754
48540,SP,29151
27013,MG,24237
27013,MG,24237
86896,SP,25630
90287,RJ,20685
88219,TO,3304
7160,SP,28988
7160,SP,28988
71403,SP,7661
20368,SP,22949
20368,SP,22949
70313,SP,27414
1750,RS,13333
42552,SP,27442
95283,MG,14856
65593,SP,25225
10697,MG,5635
44509,SP,24037
27875,MG,30626
30908,SP,25219
10116,MG,18085
67669,DF,7677
41213,SP,27781
26402,MA,9651
28387,SP,22652
22348,SC,19779
22348,SC,19779
39838,RJ,10514
79860,SP,26334
81979,MG,17566
13404,RJ,22595
78011,RJ,13852
16628,PR,19011
48617,SP,4650
54286,MG,19514
51419,BA,21136
51319,PR,25246
90767,SP,29295
24072,SP,2986
24072,SP,2986
31535,MG,12335
83083,SP,21933
83083,SP,21933
50315,SP,1464
23161,SP,16946
48315,MG,26660
85082,RJ,18369
84024,SP,1233
56758,SP,25578
66106,SP,972
66106,SP,972
66106,SP,972
80190,ES,8346
80190,ES,8346
14572,RS,1622
82372,RS,21677
9490,SP,10834
37521,ES,28355
85486,SP,1561
43647,RJ,11599
64445,SP,19945
15269,MG,17438
58942,SP,21056
90362,SP,11343
30568,SP,20430
696,RJ,24471
30647,RJ,29132
63848,RJ,8413
63848,RJ,8413
25549,MA,25649
13987,SP,31375
79438,SP,25975
1281,MG,2227
43076,RS,6477
79392,RS,11600
71662,SP,189
29302,SP,2946
29302,SP,2946
3458,SP,16203
41171,SP,6729
129,RJ,20982
129,RJ,20982
15189,SC,19246
30542,MG,28251
30311,SP,30250
84887,RS,9966
52913,SC,16386
2109,SP,23446
13402,SP,30255
5951,MG,5777
69987,RJ,7661
23408,RS,10667
23408,RS,10667
9566,SP,5275
86878,RJ,12950
86878,RJ,12950
59571,ES,26914
16537,RJ,30829
30707,MG,31039
30707,MG,31039
30707,MG,31039
30707,MG,31039
86358,SP,29513
86358,SP,29513
86358,SP,29513
86358,SP,29513
86358,SP,29513
88034,RJ,28148
93925,SP,21971
66338,RJ,2591
27793,SP,17823
92500,SP,11217
72637,MG,6564
72637,MG,6564
23731,RS,7224
27071,RJ,6824
55751,MG,25127
66014,SP,13802
40576,SP,11087
81580,SP,19396
11754,SP,25635
17527,SP,18996
17527,SP,18996
63263,SP,31266
49223,SP,11947
16851,AL,10560
76689,SP,16469
19633,SP,19903
51981,RS,18133
10230,SP,13845
38753,DF,4300
26328,SP,26363
13514,SP,6039
19367,CE,15154
28504,RS,20017
28504,RS,20017
40572,SP,30846
56050,SP,13944
14152,PB,23524
30746,BA,29992
84771,DF,23010
76159,SP,19162
38646,MG,18349
30106,SP,13985
17871,SP,22531
38566,SP,24736
47396,SP,15572
45475,RJ,19616
37488,RJ,18459
95156,SP,10311
93408,MG,2758
58232,SP,24728
35934,RJ,6095
35934,RJ,6095
16271,PR,12038
80487,RS,15287
56165,SP,13526
47947,RS,10858
27171,MA,19272
37926,MG,13113
62298,SP,22090
23437,SP,8411
89104,RJ,21958
80363,DF,21392
82130,SC,2591
48789,SP,13736
37032,RJ,8414
61042,RS,13111
24655,SP,22234
84492,SC,15322
39273,RJ,31363
2563,RJ,6525
56127,SC,30777
81470,SC,30348
81470,SC,30348
7284,SP,3227
18157,SP,14089
18157,SP,14089
30818,RS,29165
28084,SP,7072
63112,SP,29082
63112,SP,29082
8436,SP,12094
8436,SP,12094
